TUUB 	21 	Universitätsbibliothek Tübingen 	aktiv 	1
HDBSZL   	   16/107   Universität Heidelberg, Zentrales Sprachlabor, Studienbegleitende Fremdsprachenausbildung            aktiv          12
HDBSZM   	   16/141   Universität Heidelberg, Zentrum für Molekulare Biologie                                              aktiv          12
HDBSZP   	   16/156   Universität Heidelberg, Zentrum für Psychosoziale Medizin                                            aktiv          12
HDHB     	   16/250   Universitätsbibliographie der Universität Heidelberg                                                 aktiv          13
KAIT     	   Ka 85    Karlsruher Institut für Technologie, KIT-Bibliothek / Zentralbibliothek Nord                         aktiv          14
KAU002   	   90/2     Karlsruher Institut für Technologie (KIT), Engler-Bunte-Institut                                     aktiv          14
KAU003   	   90/3     Karlsruher Institut für Technologie (KIT), Wirtschaftswissenschaftliche Fakultätsbibliothek          aktiv          14
KAU004   	   90/4     Karlsruher Institut für Technologie (KIT), Fachbibliothek Hochschule Karlsruhe - Technik und         zdb            14
         	            Wirtschaft
KAU005   	   90/5     Karlsruher Institut für Technologie (KIT), Mathematische Bibliothek                                  aktiv          14
KAU006   	   90/6     Karlsruher Institut für Technologie (KIT), Institut für Analysis / Lehrstuhl Prof. Schneider         aktiv          14
KAU007   	   90/7     Karlsruher Institut für Technologie (KIT), Institut für Analysis / Lehrstuhl Prof. Plum              aktiv          14
KAU010   	   90/10    Karlsruher Institut für Technologie (KIT), Institut für Stochastik                                   aktiv          14
KAU014   	   90/14    Karlsruher Institut für Technologie (KIT), Institut für Mechanik                                     aktiv          14
KAU018   	   90/18    Karlsruher Institut für Technologie (KIT), Physikalisches Institut                                   aktiv          14
KAU019   	   90/19    Karlsruher Institut für Technologie (KIT), Laboratorium für Elektronenmikroskopie                    aktiv          14
KAU020   	   90/20    Karlsruher Institut für Technologie (KIT), Bibliothek des Instituts für Angewandte Physik            zdb            14
KAU021   	   90/21    Karlsruher Institut für Technologie (KIT), Laboratorium für Applikationen der Synchrotronstrahlung   aktiv          14
         	            (LAS)
KAU022   	   90/22    Karlsruher Institut für Technologie (KIT), Institut für Experimentelle Kernphysik                    aktiv          14
KAU024   	   90/24    Karlsruher Institut für Technologie (KIT), Institut für Chemische Verfahrenstechnik                  aktiv          14
KAU025   	   90/25    Karlsruher Institut für Technologie (KIT), Institut für Theoretische Physik                          aktiv          14
KAU026   	   90/26    Karlsruher Institut für Technologie (KIT), Institut für Theoretische Teilchenphysik                  aktiv          14
KAU027   	   90/27    Karlsruher Institut für Technologie (KIT), TKM-TFP-Bibliothek                                        aktiv          14
KAU028   	   90/28    Karlsruher Institut für Technologie (KIT), Institut für Theoretische Festkörperphysik                aktiv          14
KAU029   	   90/29    Institut für Meteorologie und Klimaforschung, Karlsruhe                                              aktiv          14
KAU030   	   90/30    Karlsruher Institut für Technologie (KIT), Geophysikalisches Institut                                aktiv          14
KAU031   	   90/31    Karlsruher Institut für Technologie (KIT), Institut für Anorganische Chemie                          aktiv          14
KAU033   	   90/33    Karlsruher Institut für Technologie (KIT), Institut für Organische Chemie                            zdb            14
KAU035   	   90/35    Karlsruher Institut für Technologie (KIT), Institut für Physikalische Chemie                         aktiv          14



KAU045   	   90/45   Karlsruher Institut für Technologie (KIT), Institut für Toxikologie und Genetik                           aktiv          14
KAU051   	   90/51   Karlsruher Institut für Technologie (KIT), Zoologisches Institut / Zell- und Neurobiologie (Zoologie I)   aktiv          14
KAU053   	   90/53   Karlsruher Institut für Technologie (KIT), Inst. für Angewandte Betriebswirtschaftslehre /                aktiv          14
         	           Unternehmensführung
KAU065   	   90/65   Karlsruher Institut für Technologie (KIT), Institut für Geographie und Geoökologie                        aktiv          14
KAU066   	   90/66   Karlsruher Institut für Technologie (KIT), Bibliothek der Fakultät für Architektur                        aktiv          14
KAU067   	   90/67   Karlsruher Institut für Technologie (KIT), Institut Kunst- und Baugeschichte, Fachgebiet                  aktiv          14
         	           Baugeschichte
KAU069   	   90/69   Karlsruher Institut für Technologie (KIT), Institut Kunst- und Baugeschichte, Fachgebiet                  aktiv          14
         	           Kunstgeschichte
KAU070   	   90/70   Karlsruher Institut für Technologie (KIT), Institut Entwerfen von Stadt und Landschaft, Fachgebiet        aktiv          14
         	           Städtebau
KAU071   	   90/71   Karlsruher Institut für Technologie (KIT), Institut Entwerfen, Kunst und Theorie, Fachgebiet              aktiv          14
         	           Gebäudelehre
KAU072   	   90/72   Karlsruher Institut für Technologie (KIT), Institut Entwerfen, Kunst und Theorie, Fachgebiet              aktiv          14
         	           Grundlagen der Architektur
KAU074   	   90/74   Karlsruher Institut für Technologie (KIT), Inst. Entwerfen und Bautechnik, Fachgebiet                     aktiv          14
         	           Tragkonstruktionen
KAU076   	   90/76   Karlsruher Institut für Technologie (KIT), Inst. Entwerfen und Bautechnik, Fachgebiet                     aktiv          14
         	           Baukonstruktion
KAU077   	   90/77   Karlsruher Institut für Technologie (KIT),Inst. Entwerfen von Stadt und Landschaft, Fachgebiet            aktiv          14
         	           Landschaftsarchitektur
KAU078   	   90/78   Karlsruher Institut für Technologie (KIT), Inst. Entwerfen, Kunst und Theorie, Fachgebiet Bildende        aktiv          14
         	           Künste
KAU079   	   90/79   Karlsruher Institut für Technologie (KIT), Institut für Wasser und Gewässerentwicklung                    aktiv          14
KAU080   	   90/80   Karlsruher Institut für Technologie (KIT), Institut für Straßen- und Eisenbahnwesen /Abt.                 aktiv          14
         	           Eisenbahnwesen
KAU081   	   90/81   Karlsruher Institut für Technologie (KIT), Institut für Hydromechanik                                     aktiv          14
KAU082   	   90/82   Karlsruher Institut für Technologie (KIT), Versuchsanstalt für Stahl, Holz und Steine / Abt. Stahl-       aktiv          14
         	           Leichtmetall
KAU083   	   90/83   Karlsruher Institut für Technologie (KIT), Versuchsanstalt für Stahl, Holz und Steine /Abt.               aktiv          14
         	           Ingenieurholzbau...
KAU084   	   90/84   Karlsruher Institut für Technologie (KIT), Institut für Bodenmechanik und Felsmechanik                    aktiv          14



KAU085   	   90/85    Karlsruher Institut für Technologie (KIT), Institut für Technologie und Management im Baubetrieb      aktiv          14
KAU086   	   90/86    Karlsruher Institut für Technologie (KIT), Institut für Straßen- und Eisenbahnwesen / Abt.            aktiv          14
         	            Straßenwesen
KAU087   	   90/87    Karlsruher Institut für Technologie (KIT), Institut für Verkehrswesen                                 aktiv          14
KAU088   	   90/88    Karlsruher Institut für Technologie (KIT), Institut für Massivbau und Baustofftechnologie / MPA       aktiv          14
         	            Karlsruhe
KAU090   	   90/90    Karlsruher Institut für Technologie (KIT), Institut für Baustatik                                     aktiv          14
KAU091   	   90/91    Karlsruher Institut für Technologie (KIT), Inst. f. Höchstfrequenztechn. u. Elektronik / Fachgebiet   aktiv          14
         	            Akustik
KAU094   	   90/94    Karlsruher Institut für Technologie (KIT), Institut für Ingenieurbiologie und Biotechnologie des      aktiv          14
         	            Abwassers
KAU095   	   90/95    Karlsruher Institut für Technologie (KIT), Studiengangsbibliothek Geodäsie und Geoinformatik          aktiv          14
KAU099   	   90/99    Karlsruher Institut für Technologie (KIT), Institut für Mess- und Regelungstechnik mit                aktiv          14
         	            Maschinenlaboratorium
KAU101   	   90/101   Karlsruher Institut für Technologie (KIT), Institut für Technische Thermodynamik und Kältetechnik     aktiv          14
KAU102   	   90/102   Karlsruher Institut für Technologie (KIT), Institut für Technische Thermodynamik                      aktiv          14
KAU105   	   90/105   Karlsruher Institut für Technologie (KIT), Institut für Angewandte Materialien / Werkstoffkunde       aktiv          14
KAU106   	   90/106   Karlsruher Institut für Technologie (KIT), Institut für Angewandte Materialien / Angewandte           aktiv          14
         	            Werkstoffphysik
KAU108   	   90/108   Karlsruher Institut für Technologie (KIT), Institut für Strömungslehre                                aktiv          14
KAU111   	   90/111   Karlsruher Institut für Technologie (KIT), Institut für Thermische Strömungsmaschinen                 aktiv          14
KAU113   	   90/113   Karlsruher Institut für Technologie (KIT), Institut für Produktentwicklung                            aktiv          14
KAU114   	   90/114   Karlsruher Institut für Technologie (KIT), Institut für Produktentwicklung / Allg.                    aktiv          14
         	            Maschinenkonstruktion
KAU116   	   90/116   Karlsruher Institut für Technologie (KIT), Institut für Fördertechnik und Logistiksysteme             aktiv          14
KAU119   	   90/119   Karlsruher Institut für Technologie (KIT), Institut für Mechanische Verfahrenstechnik und Mechanik    aktiv          14

KAU120   	   90/120   Karlsruher Institut für Technologie (KIT), Institut für Kolbenmaschinen                               aktiv          14
KAU123   	   90/123   Karlsruher Institut für Technologie (KIT), Institut für Produktionstechnik (wbk)                      aktiv          14
KAU124   	   90/124   Karlsruher Institut für Technologie (KIT), Institut für Kerntechnik und Reaktorsicherheit             zdb            14
KAU126   	   90/126   Karlsruher Institut für Technologie (KIT), Institut für Mikrostrukturtechnik                          aktiv          14
KAU127   	   90/127   Karlsruher Institut für Technologie (KIT), Forschungstelle für Brandschutztechnik am Engler-Bunte-    aktiv          14
         	            Institut


KAU128   	   90/128   Karlsruher Institut für Technologie (KIT), Institut für Mikro- und Nanolektronische Systeme                 aktiv          14
KAU129   	   90/129   Karlsruher Institut für Technologie (KIT), Institut für Theoretische Elektrotechnik und                     aktiv          14
         	            Systemoptimierung
KAU130   	   90/130   Karlsruher Institut für Technologie (KIT), Institut für Regelungs- und Steuerrungssysteme                   aktiv          14
KAU131   	   90/131   Karlsruher Institut für Technologie (KIT), Institut für Werkstoffe der Elektrotechnik                       aktiv          14
KAU132   	   90/132   Karlsruher Institut für Technologie (KIT), Institut für Biomedizinische Technik                             aktiv          14
KAU133   	   90/133   Karlsruher Institut für Technologie (KIT), Elektrotechnisches Institut                                      aktiv          14
KAU134   	   90/134   Karlsruher Institut für Technologie (KIT), Institut für Elektroenergiesysteme und                           aktiv          14
         	            Hochspannungstechnik
KAU135   	   90/135   Karlsruher Institut für Technologie (KIT), Institut für Photonik und Quantenelektronik                      aktiv          14
KAU137   	   90/137   Universtität Karlsruhe, Institut für Technik der Informationsverarbeitung                                   aktiv          14
KAU138   	   90/138   Karlsruher Institut für Technologie (KIT), Institut für Nachrichtentechnik                                  aktiv          14
KAU139   	   90/139   Karlsruher Institut für Technologie (KIT), Lichttechnisches Institut                                        aktiv          14
KAU144   	   90/144   Karlsruher Institut für Technologie (KIT), Studienkolleg für Ausländische Studierende                       aktiv          14
KAU147   	   90/147   Karlsruher Institut für Technologie (KIT), Institut für Regionalwissenschaft                                aktiv          14
KAU148   	   90/148   Karlsruher Institut für Technologie (KIT), Bibliothek der Fakultät für Informatik                           aktiv          14
KAU150   	   90/150   Karlsruher Institut für Technologie (KIT), Institut für Entscheidungstheorie und                            aktiv          14
         	            Unternehmensforschung
KAU152   	   90/152   Karlsruher Institut für Technologie (KIT), Institut für Wirtschaftstheorie und Statistik, Lehrstuhl Prof.   aktiv          14
         	            Rachev
KAU155   	   90/155   Karlsruher Institut für Technologie (KIT), Inst. Entwerfen und Bautechnik, Fachgebiet Bauphysik und         aktiv          14
         	            Technischer Ausbau
KAU156   	   90/156   Karlsruher Institut für Technologie (KIT), Inst. Entwerfen, Kunst und Theorie, Fachgebiet Bauplanung        aktiv          14

KAU159   	   90/159   Karlsruher Institut für Technologie (KIT), Institut für Industrielle Informationstechnik                    aktiv          14
KAU160   	   90/160                                                                                                                              14
         	            Karlsruher Institut für Technologie (KIT), Zoologisches Institut / Abt. Zell- und Entwicklungsbiologie      aktiv
KAU170   	   90/170   Karlsruher Institut für Technologie (KIT), Institut für Arbeitswissenschaft und Betriebsorganisation        aktiv          14
KAU174   	   90/174   Karlsruher Institut für Technologie (KIT), Institut für Angewandte Materialien / Keramik im                 aktiv          14
         	            Maschinenbau
KAU176   	   90/176   Karlsruher Institut für Technologie (KIT), Institut für Finanzwirtschaft, Banken und Versicherungen /       aktiv          14
         	            Lehrstuhl für Versicherungswissenschaft
KAU177   	   90/177   Karlsruher Institut für Technologie (KIT), Institut für Algorithmen und Kognitive Systeme                   aktiv          14



KAU179   	   90/179   Karlsruher Institut für Technologie (KIT), Institut für Telematik                                      aktiv          14
KAU181   	   90/181   Karlsruher Institut für Technologie (KIT), Zentrum für Information und Beratung (ZIB)                  aktiv          14
KAU184   	   90/184   Karlsruher Institut für Technologie (KIT), Studienzentrum für Sehgeschädigte                           aktiv          14
KAU186   	   90/186   Karlsruher Institut für Technologie (KIT), Zentrum f. Angewandte Kulturwissenschaft u. Studium         aktiv          14
         	            Generale
KAU187   	   90/187   Karlsruher Institut für Technologie (KIT), KIT-Archiv                                                  zdb            14
KAU188   	   90/188   Karlsruher Institut für Technologie (KIT), International Students Office                               zdb            14
KAU191   	   90/191   Karlsruher Institut für Technologie (KIT), Arbeitsstelle Bertolt Brecht am Institut für                zdb            14
         	            Literaturwissenschaft
KAU193   	   90/193   Karlsruher Institut für Technologie (KIT), Institut Entwerfen und Bautechnik, Fachgebiet Planungs-     aktiv          14
         	            und Bauökonomie
KAU195   	   90/195   Karlsruher Institut für Technologie (KIT), Forschungsstelle Widerstand gegen den                       aktiv          14
         	            Nationalsozialismus im SW
KAU198   	   90/198   Karlsruher Institut für Technologie (KIT), Südwestdeutsches Archiv für Architektur und Ingenieurbau    aktiv          14

KAU199   	   90/199   Fernstudienzentrum der Karlsruher Institut für Technologie (KIT)                                       aktiv          14
KAU202   	   90/202   Karlsruher Institut für Technologie (KIT), Engler-Bunte-Institut / Bereich V Umweltmesstechnik         aktiv          14
KAU204   	   90/204   Karlsruher Institut für Technologie (KIT), Institut für Angewandte Informatik /                        aktiv          14
         	            Automatisierungstechnik
KAU208   	   90/208   Karlsruher Institut für Technologie (KIT), Akademischer Filmkreis Karlsruhe                            zdb            14
KAU209   	   90/209   Universität Karslruhe, Inst. f. Informationswirtschaft u. -management /                                aktiv          14
         	            Informationsbetriebswirtschaftslehre
KAU212   	   90/212   Karlsruher Institut für Technologie (KIT), Institut für Angewandte Materialien / Zuverlässigkeit von   aktiv          14
         	            Bauteilen und Systemen
KAU215   	   90/215   Karlsruher Institut für Technologie (KIT), Sprachenzentrum                                             zdb            14
KAU219   	   90/219   Karlsruher Institut für Technologie (KIT), Institut für Operations Research, Lehrstuhl Stochastische   aktiv          14
         	            Modellierung und Optimierung - Bibliothek
KAU220   	   90/220   Karlsruher Institut für Technologie (KIT), Institut für Fahrzeugsystemtechnik, Lehrstuhl für           zdb            14
         	            Bahnsystemtechnik, Bibliothek
KAU300   	   90/300   Karlsruher Institut für Technologie (KIT), Institut für Technikfolgenabschätzung und Systemanalyse,    aktiv          14
         	            Bibliothek
KAUB     	   90       Karlsruher Institut für Technologie (KIT) - KIT-Bibliothek                                             aktiv          14
S1UB     	   93       Universitätsbibliothek Stuttgart                                                                       aktiv          15


S1U002   	   93/2    Universität Stuttgart, Institut für Theoretische und Angewandte Physik                                  aktiv          16
S1U024   	   93/24   Universität Stuttgart, Institut für Entwerfen und Konstruieren                                          aktiv          16
S1U026   	   93/26   Universität Stuttgart, Institut für Leichtbau, Entwerfen und Konstruieren, Bibliothek Pfaffenwaldring 7 aktiv          16

S1U028   	   93/28   Universität Stuttgart, Biologisches Institut                                                            aktiv          16
S1U029   	   93/29   Universität Stuttgart, Institut für Anorganische Chemie                                                 aktiv          16
S1U030   	   93/30   Universität Stuttgart, Institut für Organische Chemie                                                   aktiv          16
S1U031   	   93/31   Universität Stuttgart, Institut für Physikalische Chemie                                                aktiv          16
S1U032   	   93/32   Universität Stuttgart, Institut für Eisenbahn- und Verkehrswesen                                        aktiv          16
S1U034   	   93/34   Universität Stuttgart, Institut für Automatisierungs- und Softwaretechnik                               aktiv          16
S1U035   	   93/35   Universität Stuttgart, Institut für Elektrische Energieumwandlung                                       aktiv          16
S1U036   	   93/36   Universität Stuttgart, Institut für Theorie der Elektrotechnik                                          aktiv          16
S1U037   	   93/37   Universität Stuttgart, Institut für Nachrichtenübertragung                                              aktiv          16
S1U038   	   93/38   Universität Stuttgart, Institut für Fördertechnik und Logistik                                          aktiv          16
S1U039   	   93/39   Universität Stuttgart, Institut für Aerodynamik und Gasdynamik                                          aktiv          16
S1U040   	   93/40   Universität Stuttgart, Institut für Wohnen und Entwerfen                                                aktiv          16
S1U041   	   93/41   Universität Stuttgart, Geodätisches Institut                                                            aktiv          16
S1U044   	   93/44   Universität Stuttgart, Institut für Technische Verbrennung                                              aktiv          16
S1U045   	   93/45   Universität Stuttgart, Institut für Verbrennungsmotoren und Kraftfahrwesen                              aktiv          16
S1U046   	   93/46   Universität Stuttgart, Institut für Kunstgeschichte                                                     aktiv          16
S1U047   	   93/47   Universität Stuttgart, Institut für Sport- und Bewegungswissenschaft                                    aktiv          16
S1U048   	   93/48   Universität Stuttgart, Institut für Maschinenelemente                                                   aktiv          16
S1U049   	   93/49   Universität Stuttgart, Institut für Thermische Strömungsmaschinen und Maschinenlaboratorium             aktiv          16
S1U050   	   93/50   Materialprüfungsanstalt Universität Stuttgart (MPA Stuttgart - Otto-Graf-Institut FMPA))                aktiv          16
S1U052   	   93/52   Universitätsbibliothek Stuttgart, Bereichsbibliothek Physik                                             aktiv          16
S1U053   	   93/53   Universität Stuttgart, Institut für Mechanik (Bauwesen)                                                 aktiv          16
S1U054   	   93/54   Universität Stuttgart, Institut für Elektrische u. Optische Nachrichtentechnik                          aktiv          16
S1U059   	   93/59   Universität Stuttgart, Institut für Raumordnung u. Entwicklungsplanung                                  aktiv          16
S1U060   	   93/60   Universität Stuttgart, Institut für Tragkonstruktionen u. Konstruktives Entwerfen                       aktiv          16
S1U065   	   93/65   Universität Stuttgart, Inst. f. Strömungsmechanik u. Hydraul. Strömungsmaschinen                        aktiv          16
S1U066   	   93/66   Universität Stuttgart, Institut für Werkzeugmaschinen                                                   aktiv          16
S1U068   	   93/68   Universität Stuttgart, Institut für Darstellen u. Gestalten                                             aktiv          16
S1U069   	   93/69   Universität Stuttgart, Institut für Mikrointegration                                                    aktiv          16


S1U082   	   93/82    Universität Stuttgart, Institut für Industrielle Fertigung u. Fabrikbetrieb                           aktiv          16
S1U083   	   93/83    Universität Stuttgart, Institut für Angewandte und Experimentelle Mechanik                            aktiv          16
S1U086   	   93/86    Universität Stuttgart, Institut für Photovoltaik                                                      aktiv          16
S1U088   	   93/88    Universität Stuttgart, Institut für Flugzeugbau                                                       aktiv          16
S1U089   	   93/89    Universität Stuttgart, Institut für Energieübertragung u. Hochspannungstechnik                        aktiv          16
S1U094   	   93/94    Universität Stuttgart, Bibliothek der Institute für Linguistik und                                                   16
         	            Literaturwissenschaft                                                                                 aktiv
S1U095   	   93/95    Universität Stuttgart, Institut für Chemische Verfahrenstechnik                                       aktiv          16
S1U096   	   93/96    Universität Stuttgart, Institut für Thermodynamik der Luft- u. Raumfahrt                              aktiv          16
S1U097   	   93/97    Universität Stuttgart, Grenzflächenverfahrenstechnik und Plasmatechnologie                            aktiv          16
S1U098   	   93/98    Universität Stuttgart, Institut für Feuerungs- und Kraftwerkstechnik                                  aktiv          16
S1U099   	   93/99    Universität Stuttgart, Institut für Thermodynamik u. Wärmetechnik                                     aktiv          16
S1U100   	   93/100   Universität Stuttgart, Bibliothek des Instituts für Werkstoffe im Bauwesen (IWB) und der MPA, Otto-   aktiv          16
         	            Graf-Institut
S1U101   	   93/101   Universität Stuttgart, Institut für Kernenergetik und Energiesysteme                                  aktiv          16
S1U102   	   93/102   Universität Stuttgart, Institut f. Siedlungswasserbau, Wassergüte- u. Abfallwirtschaft                aktiv          16
S1U103   	   93/103   Universität Stuttgart, Institut für Baustatik und Baudynamik                                          aktiv          16
S1U104   	   93/104   Universität Stuttgart, Betriebswirtschaftliches Institut - BWI-Bibliothek                             aktiv          16
S1U106   	   93/106   Universität Stuttgart, Institut für Philosophie                                                       aktiv          16
S1U107   	   93/107   Universität Stuttgart, Institut für Umformtechnik                                                     aktiv          16
S1U108   	   93/108   Universität Stuttgart, Institut für Straßen- und Verkehrswesen                                        aktiv          16
S1U110   	   93/110   Universität Stuttgart, Institut für Geotechnik                                                        aktiv          16
S1U114   	   93/114   Universität Stuttgart, Historisches Institut                                                          aktiv          16
S1U123   	   93/123   Universität Stuttgart, Institut für Baustofflehre, Bauphysik, Gebäudetechnologie und                  aktiv          16
         	            Entwerfen
S1U124   	   93/124   Universität Stuttgart, Institut für Bauökonomie                                                       aktiv          16
S1U125   	   93/125   Universität Stuttgart, Institut für Grundlagen moderner Architektur und Entwerfen                     aktiv          16
S1U126   	   93/126   Universität Stuttgart, Institut für Grundlagen der Planung in der Architektur                         aktiv          16
S1U127   	   93/127   Universität Stuttgart, Institut für Öffentliche Bauten und Entwerfen                                  aktiv          16
S1U129   	   93/129   Universität Stuttgart, Institut für Landschaftsplanung und Ökologie                                   aktiv          16
S1U131   	   93/131   Universität Stuttgart, Institut für Ingenieurgeodäsie                                                 aktiv          16
S1U132   	   93/132   Universität Stuttgart, Institut für Baubetriebslehre                                                  aktiv          16
S1U133   	   93/133   Universität Stuttgart, Institut für Navigation                                                        aktiv          16


S1U134   	   93/134   Universität Stuttgart, Inst. f. Leichtbau, Entwerfen u. Konstruieren Bibliothek Pfaffenwaldring 14   aktiv          16
S1U136   	   93/136   Universität Stuttgart, Institut für Photogrammetrie                                                  aktiv          16
S1U137   	   93/137   Universität Stuttgart, Institut für Konstruktion und Entwurf                                         aktiv          16
S1U140   	   93/140   Universität Stuttgart, Institut für Theoretische Chemie                                              aktiv          16
S1U141   	   93/141   Universität Stuttgart,Institut für Polymerchemie, Lehrstuhl für Makromolekulare Stoffe und           aktiv          16
         	            Faserchemie
S1U142   	   93/142   Universität Stuttgart, Institut für Technische Chemie                                                aktiv          16
S1U143   	   93/143   Universität Stuttgart, Institut für Polymerchemie, Lehrstuhl für Struktur und                        aktiv          16
         	            Eigenschaften Polymerer Materialien
S1U145   	   93/145   Universität Stuttgart, Institut für Leistungselektronik und Elektrische Antriebe                     aktiv          16
S1U146   	   93/146   Universität Stuttgart, Institut für Kommunikationsnetze u. Rechnersysteme                            aktiv          16
S1U147   	   93/147   Universität Stuttgart, Institut für Hochfrequenztechnik                                              aktiv          16
S1U148   	   93/148   Universität Stuttgart, Institut für Halbleitertechnik                                                aktiv          16
S1U149   	   93/149   Universität Stuttgart, Institut für Signalverarbeitung und Systemtheorie (ISS)                       aktiv          16
S1U150   	   93/150   Universität Stuttgart, Inst. f. Gebäudeenergetik/LS f. Heiz- u. Raumlufttechnik                      aktiv          16
S1U151   	   93/151   Universität Stuttgart, Inst. f. Steuerungstechnik d. Werkzeugmasch. u. Fertigungseinricht.           aktiv          16
S1U152   	   93/152   Universität Stuttgart, Institut für Technische Optik                                                 aktiv          16
S1U153   	   93/153   Universität Stuttgart, Inst. f. Konstruktion u. Fertigung in d. Feinwerktechnik                      aktiv          16
S1U154   	   93/154   Universität Stuttgart, Institut für Konstruktionstechnik und Technisches Design                      aktiv          16
S1U155   	   93/155   Universität Stuttgart, Institut für Technische und Numerische Mechanik                               aktiv          16
S1U156   	   93/156   Universität Stuttgart, Institut für Mineralogie und Kristallchemie                                   aktiv          16
S1U157   	   93/157   Universität Stuttgart, Institut für Geophysik                                                        aktiv          16
S1U162   	   93/162   Universität Stuttgart, Institut f. Luftfahrtantriebe                                                 aktiv          16
S1U163   	   93/163   Universität Stuttgart, Fakultätsbibliothek Luft- u. Raumfahrttechnik und Geodäsie                    aktiv          16
S1U164   	   93/164   Universität Stuttgart, Institut für Raumfahrtsysteme                                                 aktiv          16
S1U165   	   93/165   Universität Stuttgart, Informatik-Bibliothek                                                         aktiv          16
S1U167   	   93/167   Universität Stuttgart, Physikalisches Institut, 1. Pysikalisches Institut                            aktiv          16
S1U168   	   93/168   Universität Stuttgart, Physikalisches Institut, 2. Pysikalisches Institut                            aktiv          16
S1U169   	   93/169   Universität Stuttgart, Physikalisches Institut, 3. Pysikalisches Institut                            aktiv          16
S1U170   	   93/170   Universität Stuttgart, Physikalisches Institut, 4. Pysikalisches Institut                            aktiv          16
S1U171   	   93/171   Universität Stuttgart, Institut für Halbleiteroptik und Funktionelle Grenzflächen                    aktiv          16
S1U172   	   93/172   Universität Stuttgart, Institut für Theoretische Physik                                              aktiv          16
S1U173   	   93/173   Universität Stuttgart, Institut für Mechanische Verfahrenstechnik                                    aktiv          16


S1U174   	   93/174   Universität Stuttgart, Institut für Systemdynamik und Regelungstechnik                            aktiv          16
S1U175   	   93/175   Universität Stuttgart, Inst. f. Techn. Thermodynamik u. Therm. Verfahrenstechnik                  aktiv          16
S1U176   	   93/176   Universität Stuttgart, Institut für Kunststofftechnik - Bibliothek Böblinger Straße               aktiv          16
S1U177   	   93/177   Universität Stuttgart, Institut für Kunststofftechnik - Bibliothek Pfaffenwaldring                aktiv          16
S1U178   	   93/178   IZUS / Technische Informations- und Kommunikationsdienste                                         aktiv          16
S1U179   	   93/179   Universität Stuttgart, Institut für Biomedizinische Technik                                       aktiv          16
S1U180   	   93/180   Universität Stuttgart, Sprachenzentrum                                                            aktiv          16
S1U182   	   93/182   Universität Stuttgart, Institut für Erziehungswissenschaft, Abteilung Berufs-, Wirtschafts- und   aktiv          16
         	            Technikpädagogik
S1U188   	   93/188   Universität Stuttgart, Institut für Raumkonzeptionen und Grundlagen des Entwerfens                aktiv          16
S1U189   	   93/189   Universität Stuttgart, Institut für Biochemie                                                     aktiv          16
S1U194   	   93/194   Universität Stuttgart, Institut für Baukonstruktion, Lehrstuhl 2 für                              aktiv          16
         	            Baukonstruktion, Bautechnologie und Entwerfen
S1U195   	   93/195   Universität Stuttgart, Masterstudiengang Infrastructure Planning                                  aktiv          16
S1U197   	   93/197   Universität Stuttgart, Inst. für Statik u. Dynamik d. Luft- u. Raumfahrtkonstruktionen            aktiv          16
S1U198   	   93/198   Universität Stuttgart, Lehrstuhl für Bauphysik                                                    aktiv          16
S1U199   	   93/199   Universität Stuttgart, Institut für Mikrobiologie                                                 aktiv          16
S1U200   	   93/200   Universität Stuttgart, Institut für Strahlwerkzeuge                                               aktiv          16
S1U201   	   93/201   Universität Stuttgart, Institut für Arbeitswissenschaft und Technologiemanagement                 aktiv          16
S1U202   	   93/202   Universität Stuttgart, Inst. f. Energiewirtschaft u. Rationelle Energieanwendung                  aktiv          16
S1U203   	   93/203   Universität Stuttgart, Institut für Zellbiologie und Immunologie                                  aktiv          16
S1U204   	   93/204   Universität Stuttgart, Institut für Technische Biochemie                                          aktiv          16
S1U205   	   93/205   Universität Stuttgart, Institut für Industrielle Genetik                                          aktiv          16
S1U206   	   93/206   Universität Stuttgart, Institut für Bioverfahrenstechnik                                          aktiv          16
S1U208   	   93/208   Universität Stuttgart, Institut für Flugmechanik und Flugregelung                                 aktiv          16
S1U209   	   93/209   Universität Stuttgart, Fakultätsbibliothek Architektur und Stadtplanung                           aktiv          16
S1U211   	   93/211   Universität Stuttgart, Institut für Materialwissenschaft, 2. Lehrstuhl                            aktiv          16
S1U212   	   93/212   Universität Stuttgart, Institut für Darstellen und Gestalten                                      aktiv          16
S1U213   	   93/213   Universität Stuttgart, Institut für Materialwissenschaft, 3. Lehrstuhl                            aktiv          16
S1U216   	   93/216   Universität Stuttgart, Institut für Fertigungstechnologie Keramischer Bauteile                    aktiv          16
S1U218   	   93/218   Universität Stuttgart, Heizkraftwerk Pfaffenwald                                                  aktiv          16
S1U219   	   93/219   Universität Stuttgart, Internationales Zentrum für Kultur- und Technikforschung                   aktiv          16
S1U220   	   93/220   Universität Stuttgart, Lehrstuhl für Bauphysik, Abteilung Ganzheitliche Bilanzierung              aktiv          16


S1U221   	   93/221     Universität Stuttgart, Höchstleistungsrechenzentrum Stuttgart                          aktiv          16
S1U222   	   93/222     Universität Stuttgart, Institut für Systemtheorie und Regelungstechnik                 aktiv          16
S1U223   	   93/223     Universität Stuttgart, Institut für Großflächige Mikroelektronik (IGM)                 aktiv          16
BSZ      	   576        Bibliotheksservice-Zentrum                                                             aktiv          17
