TUUB 	21 	Universitätsbibliothek Tübingen 	aktiv 	1
TUUBYG   	   21/119   Universität Tübingen, Wilhelm-Schickard-Institut für Informatik                                         aktiv          2




TUUBZA   	   21/118   Universität Tübingen, Universitäts-Archiv                                                  zdb            2
TUUBZB   	   21/86    Universität Tübingen, Zentrum für Datenverarbeitung                                        zdb            2
TUUBZC   	   21/65    Universität Tübingen, Universitäts-Apotheke                                                zdb            2
TUUBZD   	   21/121   Universität Tübingen, Internationales Zentrum für Ethik in den Wissenschaften              aktiv          2
TUUBZE   	   21/203   Universität Tübingen, Sammlung Werner Schweikert - Archiv der Weltliteratur                aktiv          2
TUUBZF   	   21/205   Universität Tübingen, Zentrum für Islamische Theologie                                     aktiv          2
FRUB     	   25       Universitätsbibliothek Freiburg                                                            aktiv          3
FR001    	   25/1     Universität Freiburg, Pathologisches Institut                                              aktiv          4
FR002    	   25/2     Universität Freiburg, Bibliothek Geographie, Hydrologie und Völkerkunde                    aktiv          4
FR003A   	   25/3a    Universität Freiburg, Mathematisches Institut, Abt. f. Reine Mathematik                    aktiv          4
FR003B   	   25/3b    Universität Freiburg, Mathematisches Institut, Abt. f. Angewandte Mathematik               aktiv          4
FR003D   	   25/3d    Universität Freiburg, Mathematisches Institut, Abt. f. Mathematische Logik                 aktiv          4
FR003E   	   25/3e    Universität Freiburg, Mathematisches Institut, Abt. f. Mathematische Stochastik            aktiv          4
FR003F   	   25/3f    Universität Freiburg, Mathematisches Institut, Abt. f. Didaktik der Mathematik             aktiv          4
FR004A   	   25/4a    Universität Freiburg, Kristallographisches Institut                                        aktiv          4
FR005    	   25/5     Universität Freiburg, Bibliothek Forstwissenschaften                                       aktiv          4
FR006    	   25/6     Universität Freiburg, Medizinische Universitätsklinik                                      aktiv          4
FR007    	   25/7     Universität Freiburg, Universitäts-Frauenklinik                                            aktiv          4
FR008    	   25/8     Universität Freiburg, Institut für Biochemie und Molekularbiologie, Bibliothek             aktiv          4
FR009    	   25/9     Universität Freiburg, Bibliothek für Rechtswissenschaft                                    aktiv          4
FR010    	   25/10    Universität Freiburg, Volkswirtschaftl. Seminar                                            aktiv          4
FR011    	   25/11    Universität Freiburg, Archäologisches Institut                                             aktiv          4
FR013    	   25/13    Universität Freiburg, Kunstgeschichtliches Institut                                        aktiv          4
FR014    	   25/14    Universität Freiburg, Musikwissenschaftliches Seminar                                      aktiv          4
FR015    	   25/15    Universität Freiburg, Bibliothek für Chemie und Pharmazie                                  aktiv          4
FR016    	   25/16    Universität Freiburg, Fakultätsbibl. Biologie II und III                                   aktiv          4
FR018    	   25/18    Universität Freiburg, Inst. f. Medinzinische Mikrobiologie u. Hygiene                      aktiv          4
FR019    	   25/19    Universität Freiburg, Chirurgische Uni-Klinik                                              aktiv          4
FR019Z   	   25/19z   Universität Freiburg, Anästhesiologische Universitätsklinik                                aktiv          4
FR020    	   25/20    Universität Freiburg, Psychiatrische Uni-Klinik /Abt. für Psychiatrie und Psychotherapie   aktiv          4
FR021    	   25/21    Universität Freiburg, Universitäts-Augenklinik                                             aktiv          4
FR022    	   25/22    Universität Freiburg, Universitäts-Hautklinik                                              aktiv          4
FR023    	   25/23    Universität Freiburg, Romanisches Seminar                                                  aktiv          4

ELN      	   SIGEL     NAME                                                                                                 Status   ILN
FR024    	   25/24     Universität Freiburg, Englisches Seminar I u. II                                                     aktiv          4
FR029    	   25/29     Universität Freiburg, Orientalisches Seminar                                                         aktiv          4
FR030A   	   25/30a    Universität Freiburg, Institut für Deutsche Sprache u. ältere Literatur                              aktiv          4
FR030B   	   25/30b    Universität Freiburg, Institut für Neuere Deutsche Literatur                                         aktiv          4
FR030C   	   25/30c    Universität Freiburg, Inst. f. Vergleichende Germanische Philologie u. Skandinavistik                aktiv          4
FR030D   	   25/30d    Universität Freiburg, Institut f. Volkskunde                                                         aktiv          4
FR030Z   	   25/30z    Universität Freiburg, Arbeitsbereich Badisches Wörterbuch                                            aktiv          4
FR031A   	   25/31a    Universität Freiburg, Seminar f. Alte Geschichte                                                     aktiv          4
FR031B   	   25/31b    Universität Freiburg, Verbundbibl. im KG IV, Hist. Seminar, Abt. Mittlere und Neuere Gesch.          aktiv          4
FR031C   	   25/31c    Universität Freiburg, Verbundbibl. im KG IV, Hist. Seminar, Abt. Neuere und Osteurop. Gesch.         aktiv          4
FR031Z   	   25/31z    Universität Freiburg, Institut für Archäologische Wissenschaften, Abteilung für Provinzialrömische   aktiv          4
         	             Archäologie
FR032    	   25/32     Universität Freiburg, FB Philosophie u. Erziehungswiss.: Philosophie                                 aktiv          4
FR033    	   25/33     Universität Freiburg, Fakultätsbibliothek Biologie I (Zoologie)                                      aktiv          4
FR034    	   25/34     Universität Freiburg, Fakultätsbibl. Physik                                                          aktiv          4
FR036    	   25/36     Universität Freiburg, Physiologisches Institut, Bibliothek                                           aktiv          4
FR038    	   25/38     Universität Freiburg, Institut für Ethik und Geschichte der Medizin                                  aktiv          4
FR039    	   25/39     Universität Freiburg, Zentrum für Kinder- und Jugendheilkunde                                        aktiv          4
FR042    	   25/42     Universität Freiburg, Bibliothek des Geologischen Instituts und des Mineralogisch-Geochemischen      aktiv          4
         	             Instituts
FR043    	   25/43     Universität Freiburg, Medizin-Lesesaal Weismannhaus                                                  aktiv          4
FR046    	   25/46     Universität Freiburg, Universitätsklinik für Zahn-, Mund- u. Kieferheilkunde                         aktiv          4
FR048    	   Frei 48   Landesamt für, Landesamt für Geologie, Rohstoffe und Bergbau Baden-Württemberg                       aktiv          4
FR049    	   25/49     Universität Freiburg, Inst. für Informatik u. Gesellschaft                                           aktiv          4
FR055    	   25/55     Universität Freiburg, Institut für Forstbotanik und Baumphysiologie /Professur Forstbotanik          aktiv          4
FR055A   	   25/55a    Universität Freiburg, Institut für Forstbotanik u. Baumphysiologie / Baumphysiologie                 aktiv          4
FR056    	   25/56     Universität Freiburg, Institut für Forstökonomie /Abt. Forstökonomie u. Forsteinrichtung             aktiv          4
FR056A   	   25/56a    Universität Freiburg, Abteilung Fernerkundung und Landschaftsinformationssysteme                     aktiv          4
FR057    	   25/57     Universität Freiburg, Institut für Forstpolitik                                                      aktiv          4
FR058    	   25/58     Universität Freiburg, Institut für Waldwachstum, Abt. für Waldwachstum                               aktiv          4
FR058A   	   25/58a    Universität Freiburg, Inst. f. Waldwachstum / Abt. Forstliche Biometrie                              aktiv          4
FR059    	   25/59     Universität Freiburg, Institut für Forstpolitik, Arbeitsbereich Forstpolitik                         aktiv          4
FR059A   	   25/59a    Universität Freiburg, Institut für Forstpolitik / Arbeitsbereich Markt und Marketing                 aktiv          4


FR060    	   25/60      Universität Freiburg, Institut für Bodenkunde u. Waldernährungslehre                        aktiv          4
FR062    	   25/62      Universität Freiburg, Forstzoologisches Institut                                            aktiv          4
FR063    	   25/63      Universität Freiburg, Universitätsklinik für Hals-, Nasen- u. Ohrenheilkunde                aktiv          4
FR065    	   25/65      Universität Freiburg, Institut für Kriminologie u. Wirtschaftsstrafrecht                    aktiv          4
FR066    	   25/66      Universität Freiburg, Historisches Seminar: Landesgeschichte                                aktiv          4
FR066A   	   25/66a     Universität Freiburg, Deutsches Seminar I : Geschichtliche Landeskunde                      aktiv          4
FR067    	   25/67      Universität Freiburg, Institut für Sport u. Sportwissenschaft                               aktiv          4
FR068    	   Frei 68    Forstliche Versuchs- und Forschungsanstalt Baden-Württemberg                                aktiv          4
FR071    	   25/71      Universität Freiburg, Neurozentrum                                                          aktiv          4
FR072    	   25/72      Universität Freiburg, Inst. f. Biophysik, AG Hirnforschung                                  aktiv          4
FR073    	   25/73      Universität Freiburg, Inst. für Experimentelle und Klinische Pharmakologie u. Toxikologie   aktiv          4
FR074    	   25/74      Universität Freiburg, Institut f. Pharmazeutische Wissenschaften                            aktiv          4
FR075    	   25/75      Universität Freiburg, Seminar für Klassische Philologie                                     aktiv          4
FR076    	   25/76      Universität Freiburg, FB Philosophie und Erziehungswiss. - Abt. Erziehungswissenschaft      aktiv          4
FR077    	   25/77      Universität Freiburg, Psychologisches Institut                                              aktiv          4
FR079    	   25/79      Universität Freiburg, Institut für öffentliches Recht                                       aktiv          4
FR081    	   25/81      Universität Freiburg, Institut für Rechtsgeschichte u. Geschichtliche Rechtsvergleichung    aktiv          4
FR082    	   25/82      Universität Freiburg, Institut für Staatswissenschaft und Rechtsphilosophie                 aktiv          4
FR083    	   25/83      Universität Freiburg, Sprachwissenschaftliches Seminar                                      aktiv          4
FR086    	   25/86      Universität Freiburg, Institut für Ur- und Frühgeschichte                                   aktiv          4
FR088    	   25/88      Universität Freiburg, Waldbau-Institut                                                      aktiv          4
FR090    	   25/90      Universität Freiburg, Meteorologisches Institut                                             aktiv          4
FR091    	   25/91      Universität Freiburg, Bibliothek der Technischen Fakultät                                   aktiv          4
FR092    	   25/92      Universität Freiburg, Verbundbibliothek im KG IV, Seminar für Wissenschaftliche Politik     aktiv          4
FR094    	   25/94      Freiburg-Institut für Datenanalyse und Modellbildung (FDM)                                  aktiv          4
FR095    	   Frei 95    Chemisches und Veterinäruntersuchungsamt Freiburg                                           aktiv          4
FR099    	   Frei 99    Deutsches Volksliedarchiv Freiburg                                                          aktiv          4
FR100    	   Frei 100   Staatliches Weinbauinstitut Freiburg                                                        aktiv          4
FR101    	   Frei 101   Stadtarchiv Freiburg                                                                        aktiv          4
FR102    	   25/102     Universität Freiburg, Institut für Rechtsmedizin                                            aktiv          4
FR104    	   25/104     Universität Freiburg, Institut für Humangenetik                                             aktiv          4
FR105    	   25/105     Universität Freiburg, Institut für Umweltmedizin und Krankenhaushygiene                     aktiv          4
FR106    	   Frei 106   MPI für Immunbiologie                                                                       aktiv          4

FR107    	   25/107      Universität Freiburg, Radiologisches Zentrum, Klinik für Strahlenheilkunde                           aktiv          4
FR110    	   Frei 110    Fraunhofer-Institut für Kurzzeitdynamik                                                              zdb            4
FR112    	   Frei 112    Fraunhofer-Institut für Angewandte Festkörperphysik                                                  zdb            4
FR113    	   25/113      Universität Freiburg, Freiburger Materialforschungszentrum                                           aktiv          4
FR114    	   Frei 114    Badischer Landesverein für Naturkunde und Naturschutz                                                zdb            4
FR115    	   Frei 115    Naturmuseum Freiburg                                                                                 aktiv          4
FR120    	   Frei 120    Studienhaus Wiesneck Buchenbach                                                                      aktiv          4
FR122    	   25/122      Universität Freiburg, Institut für Grenzgebiete der Psychologie u. Psychohygiene                     aktiv          4
FR123    	   Frei 123    Augustiner-Museum Freiburg                                                                           aktiv          4
FR124    	   25/124      Universität Freiburg, Slavisches Seminar                                                             aktiv          4
FR127    	   Frei 127    Alemannisches Institut Freiburg                                                                      aktiv          4
FR128    	   Frei 128    Stadtbibliothek Freiburg                                                                             zdb            4
FR131    	   Frei 131    Johannes-Künzig-Institut für Ostdeutsche Volkskunde Freiburg                                         aktiv          4
FR132    	   Frei 132    Kirchengeschichtlicher Verein der Erzdiösese Freiburg                                                aktiv          4
FR133    	   25/133      Universität Freiburg, Verbundbibliothek im KG IV, Institut für Soziologie                            aktiv          4
FR134Z   	   Frei 134z   Naturmuseum Freiburg, Ethnologische Sammlung                                                         aktiv          4
FR137    	   25/137      Universität Freiburg, Seminar für Lateinische Philologie des Mittelalters                            aktiv          4
FR139    	   25/139      Universität Freiburg, Institut für Forstbenutzung und forstliche Arbeitswissenschaft                 aktiv          4
